source,outcome,spec,estimate,std.error,statistic,p.value,n_obs,controls
adhm2020_house_2002_2016,d2_rwin_2002_2016,minimal,0.4446097042179531,0.6271990029290758,0.7088813951259261,0.48189966324509326,722,none
adhm2020_house_2002_2016,d2_rwin_2002_2016,core_controls,1.1283962774923344,0.6462224489310178,1.7461421827095753,0.08732001075000793,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn
adhm2020_house_2002_2016,d2_rwin_2002_2016,full_controls,0.9112461972641432,0.6321324123503591,1.4415432264831967,0.1560614641000191,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource
adhm2020_house_2002_2016,d2_cfavg_repcon_2002_2016,minimal,0.2556064935638478,0.9005283290157468,0.28384059149279495,0.7777792249562624,722,none
adhm2020_house_2002_2016,d2_cfavg_repcon_2002_2016,core_controls,1.1215742095255503,1.0125782278275481,1.1076420356497783,0.2736529424364522,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn
adhm2020_house_2002_2016,d2_cfavg_repcon_2002_2016,full_controls,1.079921954466402,0.9991449819021699,1.0808460974406828,0.28528055783688017,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource
adhm2020_house_2002_2016,d2_cfavg_repmod_2002_2016,minimal,0.10314749209540253,0.7031476017688819,0.1466939399863105,0.884001030084433,722,none
adhm2020_house_2002_2016,d2_cfavg_repmod_2002_2016,core_controls,-0.06300218265642965,0.9444790930260302,-0.06670574618499606,0.9470989143680411,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn
adhm2020_house_2002_2016,d2_cfavg_repmod_2002_2016,full_controls,-0.21599224259539318,0.9250483864310746,-0.23349291319637017,0.8163926730392559,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource
adhm2020_house_2002_2016,d2_cfavg_demmod_2002_2016,minimal,-0.8092387650492143,0.952767293318338,-0.8493561551958438,0.3999888535470958,722,none
adhm2020_house_2002_2016,d2_cfavg_demmod_2002_2016,core_controls,-1.5414529742980632,1.1488454423785817,-1.3417409491625112,0.18612684110511682,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn
adhm2020_house_2002_2016,d2_cfavg_demmod_2002_2016,full_controls,-1.3259629931891501,0.9950440874544096,-1.332567079094274,0.18909867346418857,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource
adhm2020_house_2002_2016,d2_cfavg_demlib_2002_2016,minimal,0.4579042440082123,0.7722358095281461,0.5929590914567953,0.5560511333077458,722,none
adhm2020_house_2002_2016,d2_cfavg_demlib_2002_2016,core_controls,0.5051269372480303,0.8539385279062128,0.591526111939884,0.5570025564853678,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn
adhm2020_house_2002_2016,d2_cfavg_demlib_2002_2016,full_controls,0.5375144082128573,0.7138659761629137,0.7529626374715881,0.45522750389949185,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource
adhm2020_house_2002_2016,d2_teaparty_2002_2010,minimal,0.45292322221020953,0.8091048866375897,0.5597830759525256,0.578285690438803,722,none
adhm2020_house_2002_2016,d2_teaparty_2002_2010,core_controls,0.6814256556507081,0.7589814433733033,0.897815963223162,0.37386000828196464,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn
adhm2020_house_2002_2016,d2_teaparty_2002_2010,full_controls,0.5195564908396508,0.7780495872704554,0.6677678381173017,0.5075477179616998,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource
adhm2020_president_2000_2016,d_shnr_pres_2000_2016,minimal,0.5135278908735803,0.30664407973882296,1.6746708148122926,0.10064129632099238,722,none
adhm2020_president_2000_2016,d_shnr_pres_2000_2016,core_controls,0.2103205405462955,0.16038416745698414,1.3113547545315192,0.19610837888730434,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn
adhm2020_president_2000_2016,d_shnr_pres_2000_2016,full_controls,0.2962152096718923,0.1483850952578672,1.9962598612557574,0.05171720787674194,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource
adhm2020_president_2000_2016,d_shnr_pres_2000_2008,minimal,0.17640012644321268,0.19163223571950877,0.9205138466443022,0.3620050828079333,722,none
adhm2020_president_2000_2016,d_shnr_pres_2000_2008,core_controls,0.20359493828169606,0.14210627512615273,1.4326949186512536,0.15856325559508438,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn
adhm2020_president_2000_2016,d_shnr_pres_2000_2008,full_controls,0.26479777501235835,0.1454518442697578,1.8205185114137108,0.07505042727179294,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource
