variable,correlation_with_exposure,correlation_with_instrument,weighted_mean,sd
l_shind_manuf_cbp,0.5738379631174834,0.6135885043228396,20.694661599136538,12.848215957923227
l_sh_popedu_c,-0.2427533682612923,-0.2867711787432123,48.02131976306584,8.573640410945398
l_sh_popfborn,-0.14525505604675817,-0.131018574583672,10.145656147944738,4.968978453529707
l_sh_empl_f,0.028036096435809153,0.006331239745601685,63.62368074616697,6.633984525706425
l_sh_routine33,0.30099375574686704,0.3549427286618954,32.22812828639053,3.3616892612886558
l_task_outsource,0.261140286462422,0.3119741974776806,0.11183233799712292,0.4068310442216691
z_l_shind_manuf_cbp,0.5738379631174834,0.6135885043228396,-0.11180604807674982,1
z_l_sh_popedu_c,-0.2427533682612923,-0.2867711787432123,0.6796268664793919,0.9999999999999999
z_l_sh_popfborn,-0.14525505604675817,-0.13101857458367203,1.2545060935994519,1
z_l_sh_empl_f,0.028036096435809153,0.006331239745601686,0.37415821285460066,1
z_l_sh_routine33,0.30099375574686704,0.3549427286618954,1.1614549370585863,0.9999999999999999
z_l_task_outsource,0.261140286462422,0.3119741974776806,1.2824728546811548,0.9999999999999999
statefip,-0.08476755988887404,-0.08736950108305519,27.789600179925536,14.98679909308357
