outcome,spec,regressor,estimate,std.error,statistic,p.value,n_obs,note
pretrend_slope_rep_margin,minimal,exposure_1990_2007,8.39007862929442e-5,1.59562134187792e-4,0.5258189025862465,0.6014863641622559,722,CZ-level pre-1988 presidential Republican-margin pretrend diagnostic; not a causal test.
pretrend_slope_rep_margin,core_controls,exposure_1990_2007,-6.101720807898338e-5,1.5763842067079034e-4,-0.38707066348000774,0.7004510696056383,722,CZ-level pre-1988 presidential Republican-margin pretrend diagnostic; not a causal test.
pretrend_slope_rep_margin,full_controls,exposure_1990_2007,-1.0364495303829337e-4,1.7146903880068803e-4,-0.6044528724440339,0.54844960536925,722,CZ-level pre-1988 presidential Republican-margin pretrend diagnostic; not a causal test.
pretrend_slope_rep_margin,minimal,instrument_1990_2007,6.103732201011118e-6,1.989068285535252e-4,0.030686388423153722,0.9756495869702094,722,CZ-level pre-1988 presidential Republican-margin pretrend diagnostic; not a causal test.
pretrend_slope_rep_margin,core_controls,instrument_1990_2007,-1.3161488618706308e-4,2.2171840011118012e-4,-0.5936128265451363,0.5556173595409313,722,CZ-level pre-1988 presidential Republican-margin pretrend diagnostic; not a causal test.
pretrend_slope_rep_margin,full_controls,instrument_1990_2007,-1.640072441311229e-4,2.400640354266913e-4,-0.6831812347052127,0.49784643103070636,722,CZ-level pre-1988 presidential Republican-margin pretrend diagnostic; not a causal test.
pretrend_change_first_to_last,minimal,exposure_1990_2007,0.007469235143530317,0.006221054158230849,1.2006381802106716,0.23590793794858003,722,CZ-level pre-1988 presidential Republican-margin pretrend diagnostic; not a causal test.
pretrend_change_first_to_last,core_controls,exposure_1990_2007,-0.0011952382291072381,0.005637574413022155,-0.21201285190069932,0.8330137656138542,722,CZ-level pre-1988 presidential Republican-margin pretrend diagnostic; not a causal test.
pretrend_change_first_to_last,full_controls,exposure_1990_2007,-0.0017967828289353702,0.006095736071298735,-0.2947606011676543,0.7694748509892522,722,CZ-level pre-1988 presidential Republican-margin pretrend diagnostic; not a causal test.
pretrend_change_first_to_last,minimal,instrument_1990_2007,0.006377091786327838,0.008285753871525433,0.7696453316388211,0.4453613557939172,722,CZ-level pre-1988 presidential Republican-margin pretrend diagnostic; not a causal test.
pretrend_change_first_to_last,core_controls,instrument_1990_2007,-1.0062858930068763e-4,0.008115213492171801,-0.012399992852653505,0.9901589774420851,722,CZ-level pre-1988 presidential Republican-margin pretrend diagnostic; not a causal test.
pretrend_change_first_to_last,full_controls,instrument_1990_2007,-4.499621013368451e-4,0.00870109262854913,-0.051713287117582885,0.9589763163887436,722,CZ-level pre-1988 presidential Republican-margin pretrend diagnostic; not a causal test.
