year,source_scope,source_counties,source_two_party_votes_prejoin,matched_source_counties,bridged_two_party_votes,fallback_source_counties,unmatched_source_counties,retained_vote_share
1952,adh_mainland_eligible,3098,60656890,3093,60633170.01294962,256,5,0.999608948182962
1956,adh_mainland_eligible,3100,61618950,3096,61593386.01466358,256,4,0.9995851278651061
1960,adh_mainland_eligible,3101,68052569,3097,68026176.01694094,257,4,0.9996121677190605
1960,excluded_nonmainland,4,184705,0,0,0,4,0
1964,adh_mainland_eligible,3103,70240599,3102,70236473.01824819,257,1,0.9999412593028739
1964,excluded_nonmainland,4,207271,0,0,0,4,0
1968,adh_mainland_eligible,3107,62942025,3106,62937086.018229775,258,1,0.9999215312540354
1968,excluded_nonmainland,4,232749,0,0,0,4,0
1972,adh_mainland_eligible,3106,75972056,3106,75972056.02320872,258,0,1.0000000003054903
1972,excluded_nonmainland,4,270274,0,0,0,4,0
1976,adh_mainland_eligible,3109,79577523,3109,79577523.02365981,258,0,1.0000000002973177
1976,excluded_nonmainland,4,287378,0,0,0,4,0
1980,adh_mainland_eligible,3108,78989378,3108,78989377.99482983,221,0,0.999999999934546
1980,excluded_nonmainland,4,265942,0,0,0,4,0
1984,adh_mainland_eligible,3110,91501134,3110,91501133.99448453,221,0,0.9999999999397223
1984,excluded_nonmainland,4,332137,0,0,0,4,0
1988,adh_mainland_eligible,3110,90153249,3110,90153248.99588303,221,0,0.9999999999543336
1988,excluded_nonmainland,4,350989,0,0,0,4,0
1992,adh_mainland_eligible,3110,83517930,3110,83517930,0,0,1
1992,excluded_nonmainland,5,316204,5,316204,0,0,1
1996,adh_mainland_eligible,3109,86076799,3109,86076799,0,0,1
1996,excluded_nonmainland,5,319014,5,319014,0,0,1
2000,adh_mainland_eligible,3109,100882689,3109,100882688.99654739,196,0,0.9999999999657759
2000,excluded_nonmainland,5,343102,0,0,0,5,0
2004,adh_mainland_eligible,3109,120338874,3109,120338873.99596131,196,0,0.999999999966439
2004,excluded_nonmainland,5,425491,0,0,0,5,0
2008,adh_mainland_eligible,3109,128685778,3109,128685777.9956541,196,0,0.9999999999662287
2008,excluded_nonmainland,5,445661,0,0,0,5,0
2012,adh_mainland_eligible,3109,126101513,3109,126101512.73280591,183,0,0.999999997881119
2012,excluded_nonmainland,5,427230,0,0,0,5,0
2016,adh_mainland_eligible,3108,127210088,3108,127210087.72915393,183,0,0.9999999978708759
2016,excluded_nonmainland,5,395753,0,0,0,5,0
2020,adh_mainland_eligible,3108,154566899,3108,154566898.9633658,184,0,0.999999999762988
2020,excluded_nonmainland,5,563018,0,0,0,5,0
