sample,czone,year
main_1972_start,26804,1972
main_1972_start,26804,1976
main_1972_start,26804,1980
main_1972_start,26804,1984
main_1972_start,26804,1988
main_1972_start,26804,2000
main_1972_start,26804,2004
main_1972_start,26804,2008
main_1972_start,26804,2012
main_1972_start,26804,2016
main_1972_start,26804,2020
diagnostic_1952_start,26804,1952
diagnostic_1952_start,26804,1956
diagnostic_1952_start,26804,1960
diagnostic_1952_start,26804,1964
diagnostic_1952_start,26804,1968
diagnostic_1952_start,26804,1972
diagnostic_1952_start,26804,1976
diagnostic_1952_start,26804,1980
diagnostic_1952_start,26804,1984
diagnostic_1952_start,26804,1988
diagnostic_1952_start,26804,2000
diagnostic_1952_start,26804,2004
diagnostic_1952_start,26804,2008
diagnostic_1952_start,26804,2012
diagnostic_1952_start,26804,2016
diagnostic_1952_start,26804,2020
